"SUBURB_NUM","suburb","postcode","lonmin","latmin","lonmax","latmax"
560716,"DUCK PONDS","5607",135.7071936,-34.76339045,135.8296818,-34.693974
560717,"COOMUNGA","5607",135.671156,-34.694215,135.7721643,-34.6282703
560718,"HAWSON","5607",135.7647765,-34.7006913,135.8078767,-34.6634118
560719,"TOOTENILLA","5607",135.7494404,-34.6644546,135.8250668,-34.6286173
560720,"BOSTON","5607",135.80285821,-34.7085312,135.85665886,-34.66051458
560721,"NORTH SHIELDS","5607",135.8168725,-34.65635579,135.90529144,-34.57408666
560722,"FOUNTAIN","5607",135.598708,-34.62836103,135.6787959,-34.56142169
560723,"PEARLAH","5607",135.66851151,-34.6286173,135.7529346,-34.5609926
560724,"GREEN PATCH","5607",135.7354591,-34.62880142,135.83183342,-34.5575855
560725,"WANILLA","5607",135.5993504,-34.5780936,135.7931459,-34.4767646
560726,"CHARLTON GULLY","5607",135.7658964,-34.57454501,135.85546543,-34.5077465
560727,"WHITES FLAT","5607",135.7878577,-34.5436091,135.89748559,-34.47727439
560728,"WHITES RIVER","5607",135.8797299,-34.51922988,136.0348395,-34.47729209
560729,"LOUTH BAY","5607",135.88084542,-34.56838833,135.94501717,-34.4989528
560730,"POONINDIE","5607",135.84058566,-34.5957866,135.91511058,-34.54277901
560731,"KELLIDIE BAY","5607",135.43068004,-34.61762096,135.5180972,-34.5761429
560732,"WANGARY","5607",135.4104066,-34.6281034,135.603667,-34.4765943
560733,"MOUNT DUTTON BAY","5607",135.400776,-34.5405613,135.44932899,-34.5032971
560734,"LITTLE DOUGLAS","5607",135.37580594,-34.60260675,135.42307462,-34.50329611
560735,"COULTA","5607",135.34907916,-34.50331857,135.550512,-34.2956615
560736,"MOUNT DRUMMOND","5607",135.32383183,-34.3178238,135.5100479,-34.1722353
560737,"MOUNT HOPE","5607",135.24053545,-34.2203508,135.4459513,-34.0547801
560738,"KIANA","5607",135.21597773,-34.0597626,135.4452507,-33.9398434
560739,"POINT BOSTON","5607",135.89297313,-34.64995839,135.93840699,-34.60254102
560740,"FARM BEACH","5607",135.39022464,-34.50332636,135.40506091,-34.48854191
560741,"BROOKER","5607",135.7771674,-34.1723165,135.9309446,-33.9206267
560801,"WHYALLA NORRIE","5608",137.5275561,-33.04592357,137.5545829,-33.0079264
560802,"WHYALLA STUART","5608",137.5015644,-33.05200116,137.5317399,-33.0097087
560901,"WHYALLA JENKINS","5609",137.50151747,-33.04246375,137.5191476,-33.01480411
563001,"EDILLILIE","5630",135.5504639,-34.4773414,135.77749343,-34.3428433
563101,"COCKALEECHIE","5631",135.77755835,-34.28927446,135.95292692,-34.1691081
563102,"CUMMINS","5631",135.4896694,-34.3793874,135.77768188,-34.1690469
563201,"KAPINNIE","5632",135.4397717,-34.2468036,135.6076906,-34.0871211
563202,"YEELANNA","5632",135.60729061,-34.17166438,135.7779329,-34.0483442
563203,"MITCHELL","5632",135.4452503,-34.0968289,135.6115062,-33.9395287
563204,"KARKOO","5632",135.60740899,-34.090882,135.7779329,-33.9384882
563301,"BOONERDO","5633",135.9066893,-33.63766859,136.045463,-33.48729921
563302,"LOCK","5633",135.5570323,-33.6921991,135.9073804,-33.4836008
563303,"ULYERRA","5633",135.6041597,-33.4881477,135.86393887,-33.3314328
564001,"CAMPOONA","5640",136.3235886,-33.6384799,136.4996495,-33.469744
564002,"JAMIESON","5640",136.324448,-33.47078151,136.49777255,-33.3675511
564003,"WADDIKEE","5640",136.1153131,-33.4239417,136.49805103,-33.2736869
564004,"CLEVE","5640",136.3613666,-33.8016181,136.6708532,-33.6151203
564101,"BUCKLEBOO","5641",135.69524085,-32.9500318,136.2534912,-32.60222911
564102,"WILCHERRY","5641",136.42641512,-32.9501472,136.5070221,-32.85456467
564103,"PINKAWILLINIE","5641",135.4804425,-33.2018639,136.2534235,-32.76633929
564104,"CORTLINYE","5641",136.25308899,-33.1245692,136.4265858,-32.9500303
564105,"MOSELEY","5641",136.42607751,-33.1250608,136.5985565,-32.9500265
564106,"CARALUE","5641",136.00108031,-33.3309557,136.25278388,-33.22605609
564107,"KELLY","5641",136.4254767,-33.3288548,136.6042469,-33.1246274
564108,"BARNA","5641",136.5983903,-33.2252477,136.8111078,-33.1245909
564109,"YALANDA","5641",136.5984001,-33.3279496,136.8111005,-33.2189085
564110,"KIMBA","5641",136.37816692,-33.1522886,136.44444569,-33.11311252
564111,"CUNYARIE","5641",136.2534368,-32.9501527,136.4267459,-32.8114776
564112,"PANITYA","5641",136.0011055,-33.24327513,136.25283011,-33.1458886
564113,"SOLOMON","5641",136.25268943,-33.3299407,136.4267158,-33.12433101
564114,"BUNGEROO","5641",136.16328029,-32.8569814,136.2536581,-32.74231969
